,state,region,id,zip,city,latitude,longitude,type,url,domain,first.type,expense.percent,financial.rating,financial.rating.fye,accountability.rating,accountability.rating.fye,rating,fundraising.expense,admin.expense,contributions,revenue,rating.fye,overhead
1550,TN,tennessee,org12671.htm,38301,Jackson,35.60758,-88.81959,Community Development : Fundraising,http://www.unitedway.tn.org,unitedway.tn.org,Community Development ,0.065,0.8197,3,0.96,4,0.8694,6.5,6.5,1995766,2102727,3,13
1551,NY,new york,org12672.htm,11201,Brooklyn,40.695286,-73.98907,Human and Civil Rights : Advocacy and Education,http://www.liftonline.org,liftonline.org,Human and Civil Rights ,0.085,0.6999,1,1,4,0.7877,8.5,16.5,1180085,1630916,2,25
1552,CA,california,org12674.htm,92701,Santa Ana,33.747017,-117.86248,Human and Civil Rights : Advocacy and Education,http://www.publiclawcenter.org,publiclawcenter.org,Human and Civil Rights ,0.085,0.9027,4,0.93,4,0.9152,8.5,12.4,1926430,2191623,4,20.9
1553,RI,rhode island,org12676.htm,2917,Smithfield,41.894499,-71.51646,Human Services : Multipurpose Human Service Organizations,http://www.specialolympicsri.org/Default.aspx,specialolympicsri.org,Human Services ,0.319,0.704,2,0.81,3,0.7512,31.9,21.2,1601760,1621692,2,53.1
1554,GA,georgia,org12679.htm,30316,Atlanta,33.729506,-84.34087,Human Services : Children's and Family Services,http://www.georgiacenterforchildadvocacy.org,georgiacenterforchildadvocacy.org,Human Services ,0.082,0.7551,2,1,4,0.8268,8.2,15.5,1146762,1369936,3,23.7
1555,NY,new york,org12681.htm,10001,New York,40.750742,-73.99653,Education : Other Education Programs and Services,http://www.scope-ny.org,scope-ny.org,Education ,0.309,0.5607,1,0.93,4,0.6854,30.9,8.2,987088,1067653,1,39.1
1556,TX,texas,org12683.htm,78520,Brownsville,25.928274,-97.51618,Community Development : Fundraising,http://unitedwayrgv.org,unitedwayrgv.org,Community Development ,0.046,0.9659,4,1,4,0.9758,4.6,4.3,2189232,2359623,4,8.9
1557,MA,massachusetts,org12684.htm,2459,Newton Center,42.321197,-71.193,Education : Other Education Programs and Services,http://www.jgateways.org,jgateways.org,Education ,0.109,0.7703,2,0.89,3,0.8199,10.9,23.5,1804612,2522401,3,34.4
1558,OH,ohio,org12685.htm,45036,Lebanon,39.440152,-84.22175,Community Development : Fundraising,http://www.warrencountyunitedway.org,warrencountyunitedway.org,Community Development ,0.089,0.6433,1,1,4,0.7477,8.9,16.2,1551065,1557589,2,25.1
1559,TX,texas,org12686.htm,76513,Belton,31.073329,-97.48642,Religion : Religious Activities,http://www.hopeforthehungry.org,hopeforthehungry.org,Religion ,0.033,0.7913,2,0.85,3,0.8182,3.3,9.8,1067745,1072103,3,13.1
1560,NE,nebraska,org12688.htm,68521,Lincoln,40.855645,-96.71298,Human Services : Social Services,http://www.centerforpeopleinneed.org,centerforpeopleinneed.org,Human Services ,0.001,0.7742,2,1,4,0.8403,0.1,2.6,12362735,12646330,3,2.7
1561,MI,michigan,org12691.htm,48212,Hamtramck,42.410037,-83.05826,International : Development and Relief Services,http://www.helpinghandonline.org,helpinghandonline.org,International ,0.034,0.9659,4,1,4,0.9758,3.4,5.5,22726077,24046855,4,8.9
1562,WA,washington,org12695.htm,98206,Everett,47.859918,-122.284785,Health : Treatment and Prevention Services,http://breastcancerpreventionfund.org,breastcancerpreventionfund.org,Health ,0.281,0.598,1,0.59,1,0.5939,28.1,21.7,2087279,2087660,1,49.8
1563,CT,connecticut,org12696.htm,6513,New Haven,41.315797,-72.8803,Education : Other Education Programs and Services,http://www.achievementfirst.org,achievementfirst.org,Education ,0.041,0.9156,4,0.93,4,0.9224,4.1,5.2,18165683,27246098,4,9.3
1564,CA,california,org12697.htm,90291,Venice,33.992411,-118.46531,"Human Services : Youth Development, Shelter, and Crisis Services",http://www.bgcv.org,bgcv.org,Human Services ,0.126,0.7639,2,0.93,4,0.8258,12.6,10.1,1169036,1708687,3,22.7
1565,NA,NA,org12699.htm,20005,Washington,38.904461,-77.03088,Research and Public Policy : Social and Public Policy Research,http://www.instituteforenergyresearch.org,instituteforenergyresearch.org,Research and Public Policy ,0.106,0.7571,2,0.86,3,0.8017,10.6,4.4,2052381,1987596,3,15
1566,NY,new york,org12702.htm,10456,Bronx,40.829676,-73.90856,Education : Other Education Programs and Services,http://www.dreamyard.com,dreamyard.com,Education ,0.111,0.8475,3,0.78,2,0.8107,11.1,9.7,2464146,3224351,3,20.8
1567,NA,NA,org12703.htm,20010,Washington,38.933311,-77.02929,Human Services : Homeless Services,http://www.ThriveDC.org,thrivedc.org,Human Services ,0.071,0.7929,2,1,4,0.8535,7.1,5.7,1928990,1922952,3,12.8
1568,AZ,arizona,org12704.htm,85711,Tucson,32.216326,-110.88511,Health : Treatment and Prevention Services,http://givehopetucson.com/,givehopetucson.com,Health ,0.162,0.6142,1,0.93,4,0.7227,16.2,18.3,1310302,1310797,2,34.5
1569,VT,vermont,org12706.htm,5482,Shelburne,44.388556,-73.22318,"Arts, Culture, Humanities : Museums",http://www.shelburnemuseum.org,shelburnemuseum.org,"Arts, Culture, Humanities ",0.093,0.9006,4,0.9,4,0.9002,9.3,16.9,5428088,8202635,4,26.2
1570,CT,connecticut,org12707.htm,6232,Andover,41.737015,-72.37151,Education : Other Education Programs and Services,http://www.channel3kidscamp.org,channel3kidscamp.org,Education ,0.112,0.838,3,0.74,2,0.7833,11.2,12.7,722866,1692671,2,23.9
1571,MS,mississippi,org12708.htm,38963,Tutwiler,34.015686,-90.39034,Health : Treatment and Prevention Services,http://tutwilerclinic.org,tutwilerclinic.org,Health ,0.027,0.9149,4,0.62,1,0.7246,2.7,14.3,1538533,2339166,2,17
1572,CT,connecticut,org12711.htm,6105,Hartford,41.771166,-72.70255,"Human Services : Youth Development, Shelter, and Crisis Services",http://www.opp.org,opp.org,Human Services ,0.051,0.9309,4,0.89,3,0.9081,5.1,7.9,5803217,5894113,4,13
1573,IL,illinois,org12712.htm,60201,Evanston,42.056391,-87.69684,Human Services : Multipurpose Human Service Organizations,http://www.mcgawymca.org,mcgawymca.org,Human Services ,0.02,0.8189,3,0.89,3,0.8501,2,8.1,1246652,13855567,3,10.1
1574,FL,florida,org12718.htm,34208,Bradenton,27.486448,-82.535,Human Services : Social Services,http://www.mealsonwheelsplus.org/,mealsonwheelsplus.org,Human Services ,0.023,0.9636,4,0.89,3,0.918,2.3,2,7629628,8576854,4,4.3
1575,NY,new york,org12720.htm,10016,New York,40.74618,-73.97759,"Health : Diseases, Disorders, and Disciplines",http://www.AutismSpeaks.org,autismspeaks.org,Health ,0.244,0.7633,2,0.93,4,0.8254,24.4,4.6,53245999,53301122,3,29
1576,VA,virginia,org12721.htm,23260,Richmond,37.524246,-77.493157,Human Services : Homeless Services,http://www.caritasva.org/,caritasva.org,Human Services ,0.044,0.9606,4,0.96,4,0.9602,4.4,6.5,2407522,2726878,4,10.9
1577,GA,georgia,org12722.htm,30542,Flowery Branch,34.188281,-83.91813,"Human Services : Youth Development, Shelter, and Crisis Services",http://www.eagleranch.org,eagleranch.org,Human Services ,0.101,0.8266,3,0.93,4,0.8677,10.1,12.8,4614465,4849602,3,22.9
1578,VA,virginia,org12728.htm,22304,Alexandria,38.813013,-77.11667,"Animals : Animal Rights, Welfare, and Services",http://www.alexandriaanimals.org,alexandriaanimals.org,Animals ,0.084,0.7306,2,0.93,4,0.8031,8.4,10.8,1068718,2388630,3,19.2
